Version 4
SHEET 1 6472 2408
WIRE 1792 336 1792 160
WIRE 1984 336 1984 224
WIRE 1984 336 1792 336
WIRE 2064 336 2064 320
WIRE 2064 336 1984 336
WIRE 2160 336 2064 336
WIRE 2256 336 2256 224
WIRE 2256 336 2160 336
WIRE 1088 352 1088 336
WIRE 1984 352 1984 336
WIRE -16 592 -80 592
WIRE 352 624 240 624
WIRE 256 688 240 688
WIRE 352 688 352 624
WIRE 352 688 320 688
WIRE 240 704 240 688
WIRE 352 704 352 688
WIRE 80 736 -16 736
WIRE 192 736 80 736
WIRE -16 752 -16 736
WIRE 80 752 80 736
WIRE -80 784 -80 592
WIRE -64 784 -80 784
WIRE 240 800 240 784
WIRE 256 800 240 800
WIRE 352 800 352 784
WIRE 352 800 320 800
WIRE 400 800 352 800
WIRE 240 848 240 800
WIRE 80 864 80 832
WIRE 304 896 288 896
WIRE 240 944 240 928
WIRE 304 944 304 896
WIRE 304 944 240 944
WIRE 80 960 80 928
WIRE 240 976 240 944
WIRE 336 1024 288 1024
WIRE 400 1024 400 800
WIRE 80 1056 80 1040
WIRE 128 1056 128 1008
WIRE 128 1056 80 1056
WIRE -16 1088 -16 832
WIRE 80 1088 80 1056
WIRE 80 1088 -16 1088
WIRE 240 1088 240 1056
WIRE 240 1088 80 1088
WIRE -16 1104 -16 1088
FLAG -240 -1376 0
FLAG 352 -1392 0
FLAG -256 -480 0
FLAG 912 -752 B
IOPIN 912 -752 In
FLAG 672 -752 0
FLAG 1120 -752 A
IOPIN 1120 -752 In
FLAG 16 -1584 B
IOPIN 16 -1584 Out
FLAG 304 -1584 A
IOPIN 304 -1584 Out
FLAG -544 -1376 0
FLAG 64 -1376 0
FLAG -288 -1584 C
IOPIN -288 -1584 Out
FLAG 208 -752 C
IOPIN 208 -752 In
FLAG -592 -1584 E
IOPIN -592 -1584 Out
FLAG 1520 -560 0
FLAG 400 -752 BIAS
IOPIN 400 -752 In
FLAG 1488 -912 OUTPUT
FLAG 272 -1376 0
FLAG -416 -1696 0
FLAG -464 -1584 D
IOPIN -464 -1584 Out
FLAG 560 -1376 0
FLAG 1024 -1440 0
FLAG 1024 -1632 BIAS
IOPIN 1024 -1632 Out
FLAG -496 -880 RY2
IOPIN -496 -880 In
FLAG 2080 -576 0
FLAG -608 -32 INPUT
IOPIN -608 -32 In
FLAG -448 -224 E
IOPIN -448 -224 In
FLAG -560 288 0
FLAG 160 336 0
FLAG 1040 -32 0
FLAG 1120 -144 D
IOPIN 1120 -144 In
FLAG 1616 0 0
FLAG 1088 352 0
FLAG 2016 -160 C
IOPIN 2016 -160 In
FLAG 1984 352 0
FLAG 2432 128 TO_TS
IOPIN 2432 128 Out
FLAG 240 624 TO_TS
IOPIN 240 624 In
FLAG -16 592 RY2
IOPIN -16 592 Out
FLAG -16 1104 0
FLAG 2352 -576 0
FLAG 2288 -1040 INPUT
IOPIN 2288 -1040 Out
SYMBOL voltage 352 -1504 R0
WINDOW 123 0 0 Left 2
WINDOW 39 24 132 Left 2
SYMATTR SpiceLine Rser=10
SYMATTR InstName V2
SYMATTR Value 460
SYMBOL res -176 -1488 R270
WINDOW 0 32 56 VTop 2
WINDOW 3 0 56 VBottom 2
SYMATTR InstName R14
SYMATTR Value 2.7K
SYMBOL cap -160 -640 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C9
SYMATTR Value 0.1µ
SYMBOL res -128 -768 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R10
SYMATTR Value 10K
SYMBOL cap -160 -896 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C10
SYMATTR Value 0.02µF
SYMBOL res -112 -896 R0
SYMATTR InstName R11
SYMATTR Value 1Meg
SYMBOL res -112 -720 R0
SYMATTR InstName R13
SYMATTR Value 1Meg
SYMBOL res 48 -768 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R16
SYMATTR Value 470
SYMBOL triode 96 -880 R0
SYMATTR InstName U5
SYMATTR Value 12AX7
SYMBOL triode 96 -624 M180
SYMATTR InstName U7
SYMATTR Value 12AX7
SYMBOL res 224 -672 R0
SYMATTR InstName R17
SYMATTR Value 91K
SYMBOL res 224 -944 R0
SYMATTR InstName R18
SYMATTR Value 82K
SYMBOL cap 384 -944 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C11
SYMATTR Value 0.047µ
SYMBOL cap 384 -592 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C12
SYMATTR Value 0.047µ
SYMBOL res 416 -944 R0
SYMATTR InstName R19
SYMATTR Value 220K
SYMBOL res 416 -672 R0
SYMATTR InstName R20
SYMATTR Value 220K
SYMBOL tetrode 736 -944 R0
WINDOW 0 -48 -46 Right 2
WINDOW 3 38 -99 Right 2
SYMATTR InstName U8
SYMATTR Value 6L6GC
SYMBOL tetrode 736 -560 M180
WINDOW 0 -68 -52 Left 2
WINDOW 3 33 -98 Right 2
SYMATTR InstName U9
SYMATTR Value 6L6GC
SYMBOL res 1504 -816 R0
SYMATTR InstName R21
SYMATTR Value 8
SYMBOL res 912 -960 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R22
SYMATTR Value 1K
SYMBOL res 912 -576 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R23
SYMATTR Value 1K
SYMBOL res 304 -1104 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R24
SYMATTR Value 47K
SYMBOL res -480 -1488 R270
WINDOW 0 32 56 VTop 2
WINDOW 3 0 56 VBottom 2
SYMATTR InstName R25
SYMATTR Value 22K
SYMBOL ind2 96 -1488 R270
WINDOW 0 32 56 VTop 2
WINDOW 3 5 56 VBottom 2
SYMATTR InstName L4
SYMATTR Value 7
SYMATTR SpiceLine Rser=50
SYMATTR Type ind
SYMBOL transPPc 1136 -912 R0
SYMATTR InstName U24
SYMATTR Value PP_OUTPUT_XFRMR
SYMBOL res 624 -592 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R9
SYMATTR Value 1.5K
SYMBOL res 624 -944 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R30
SYMATTR Value 1.5K
SYMBOL res -272 -592 R0
SYMATTR InstName R29
SYMATTR Value 4.7K
SYMBOL cap 288 -800 R0
SYMATTR InstName C7
SYMATTR Value 75pF
SYMBOL res 688 -864 R0
SYMATTR InstName R32
SYMATTR Value 1
SYMBOL res 688 -752 R0
SYMATTR InstName R33
SYMATTR Value 1
SYMBOL cap 160 -640 R0
SYMATTR InstName C13
SYMATTR Value 120pF
SYMBOL cap 176 -928 R0
SYMATTR InstName C16
SYMATTR Value 120pF
SYMBOL polcap 48 -1472 R0
SYMATTR InstName C18
SYMATTR Value 30µ
SYMBOL cap 256 -1456 R0
SYMATTR InstName C6
SYMATTR Value 0.047µ
SYMBOL polcap -256 -1472 R0
SYMATTR InstName C8
SYMATTR Value 30µ
SYMBOL polcap -560 -1472 R0
SYMATTR InstName C15
SYMATTR Value 30µ
SYMBOL res -304 -1600 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R34
SYMATTR Value 15K
SYMBOL polcap -400 -1616 R180
WINDOW 0 24 57 Left 2
WINDOW 3 24 8 Left 2
SYMATTR InstName C27
SYMATTR Value 30µ
SYMBOL res 544 -1632 R0
SYMATTR InstName R45
SYMATTR Value 150K
SYMBOL res 544 -1504 R0
SYMATTR InstName R47
SYMATTR Value 150K
SYMBOL polcap 640 -1632 R270
WINDOW 0 32 32 VTop 2
WINDOW 3 0 32 VBottom 2
SYMATTR InstName C28
SYMATTR Value 320µ
SYMBOL polcap 640 -1376 R270
WINDOW 0 32 32 VTop 2
WINDOW 3 0 32 VBottom 2
SYMATTR InstName C29
SYMATTR Value 320µ
SYMBOL voltage 1024 -1584 R0
WINDOW 123 0 0 Left 2
WINDOW 39 22 99 Left 2
WINDOW 3 59 59 Left 2
SYMATTR SpiceLine Rser=100
SYMATTR Value -51
SYMATTR InstName V4
SYMBOL voltage 2080 -752 R0
WINDOW 123 28 132 Left 2
WINDOW 39 26 159 Left 2
SYMATTR Value2 AC 1 0
SYMATTR SpiceLine Rser=5K
SYMATTR InstName V1
SYMATTR Value SINE(0 0.03 400)
SYMBOL cap 400 -1104 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C30
SYMATTR Value 0.1µ
SYMBOL spdt -160 -1104 R0
WINDOW 3 -331 82 Left 2
SYMATTR Value SET={LDR19}
SYMATTR InstName LDR19
SYMBOL res 352 -1024 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R1
SYMATTR Value 47K
SYMBOL spdt 128 -1024 R0
WINDOW 3 -245 -25 Left 2
SYMATTR Value SET={LDR20}
SYMATTR InstName LDR20
SYMBOL cap -528 -672 R180
WINDOW 0 24 56 Left 2
WINDOW 3 24 8 Left 2
SYMATTR InstName C1
SYMATTR Value 0.1µ
SYMBOL potentiometer_standard -560 -672 R0
SYMATTR InstName U1
SYMATTR Value Rtot=25K wiper={PRES_OR}
SYMBOL res -576 -32 R0
SYMATTR InstName R2
SYMATTR Value 1Meg
SYMBOL res -496 64 R0
SYMATTR InstName R3
SYMATTR Value 1.8K
SYMBOL res -416 160 R0
SYMATTR InstName R4
SYMATTR Value 47K
SYMBOL res -192 176 R0
SYMATTR InstName R5
SYMATTR Value 2.2Meg
SYMBOL res -16 112 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R6
SYMATTR Value 2.2Meg
SYMBOL res -16 -32 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R7
SYMATTR Value 680K
SYMBOL Misc/triode -448 -32 R0
SYMATTR InstName U2
SYMATTR Value 12AX7
SYMBOL res -464 -208 R0
SYMATTR InstName R8
SYMATTR Value 220K
SYMBOL cap -288 -112 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C2
SYMATTR Value 0.02µ
SYMBOL polcap -416 80 R0
SYMATTR InstName C3
SYMATTR Value 1µ
SYMBOL spdt -304 224 R270
WINDOW 3 -74 85 VLeft 2
SYMATTR Value SET={LDR3}
SYMATTR InstName LDR3
SYMBOL cap -48 -112 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C4
SYMATTR Value 0.002µ
SYMBOL cap -48 32 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C5
SYMATTR Value 82p
SYMBOL spdt 32 -16 R90
WINDOW 3 -59 -34 VLeft 2
SYMATTR Value SET={LDR4}
SYMATTR InstName LDR4
SYMBOL cap 224 208 R0
SYMATTR InstName C14
SYMATTR Value 0.001µ
SYMBOL res 944 32 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R12
SYMATTR Value 470K
SYMBOL cap 960 96 R0
SYMATTR InstName C19
SYMATTR Value 20p
SYMBOL Misc/triode 1120 48 R0
SYMATTR InstName U6
SYMATTR Value 12AX7
SYMBOL res 1104 -144 R0
SYMATTR InstName R15
SYMATTR Value 100K
SYMBOL res 1072 144 R0
SYMATTR InstName R26
SYMATTR Value 1.8K
SYMBOL cap 1024 -112 R0
SYMATTR InstName C20
SYMATTR Value 0.005µ
SYMBOL res 1168 224 R0
SYMATTR InstName R27
SYMATTR Value 47K
SYMBOL polcap 1168 144 R0
SYMATTR InstName C31
SYMATTR Value 1µ
SYMBOL spdt 1280 288 R270
WINDOW 3 -74 85 VLeft 2
SYMATTR Value SET={LDR3}
SYMATTR InstName LDR33
SYMBOL cap 1280 -32 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C32
SYMATTR Value 0.02µ
SYMBOL res 1376 -32 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R28
SYMATTR Value 470K
SYMBOL res 1376 112 R0
SYMATTR InstName R31
SYMATTR Value 1Meg
SYMBOL Misc/triode 1504 80 R0
SYMATTR InstName U10
SYMATTR Value 12AX7
SYMBOL res 1488 -96 R0
SYMATTR InstName R46
SYMATTR Value 100K
SYMBOL cap 1600 -80 R0
SYMATTR InstName C33
SYMATTR Value 0.001µ
SYMBOL res 1456 160 R0
SYMATTR InstName R48
SYMATTR Value 39K
SYMBOL cap 1744 16 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C34
SYMATTR Value 0.02µ
SYMBOL Misc/triode 2016 32 R0
SYMATTR InstName U11
SYMATTR Value 12AX7
SYMBOL Misc/triode 2288 32 R0
SYMATTR InstName U12
SYMATTR Value 12AX7
SYMBOL res 1776 64 R0
SYMATTR InstName R49
SYMATTR Value 330K
SYMBOL res 1952 16 R90
WINDOW 0 0 56 VBottom 2
WINDOW 3 32 56 VTop 2
SYMATTR InstName R50
SYMATTR Value 220K
SYMBOL res 1968 128 R0
SYMATTR InstName R51
SYMATTR Value 1.8K
SYMBOL res 2048 224 R0
SYMATTR InstName R52
SYMATTR Value 47K
SYMBOL polcap 2048 144 R0
SYMATTR InstName C35
SYMATTR Value 1µ
SYMBOL spdt 2160 288 R270
WINDOW 3 -74 85 VLeft 2
SYMATTR Value SET={LDR10}
SYMATTR InstName LDR10
SYMBOL res 2032 -32 R180
WINDOW 0 36 76 Left 2
WINDOW 3 36 40 Left 2
SYMATTR InstName R53
SYMATTR Value 220K
SYMBOL res 2240 128 R0
SYMATTR InstName R54
SYMATTR Value 100K
SYMBOL potentiometer_standard 144 224 R0
SYMATTR InstName U3
SYMATTR Value Rtot=1MEG wiper={GAIN_OR}
SYMATTR SpiceLine Rtap=.1MEG tap=0.5
SYMATTR SpiceModel pot_pow
SYMBOL potentiometer_standard 0 848 R180
SYMATTR InstName U13
SYMATTR Value Rtot=1MEG wiper={MASTER_RED}
SYMATTR SpiceLine Rtap=.1MEG tap=0.5
SYMATTR SpiceModel pot_pow
SYMBOL res 64 736 R0
SYMATTR InstName R35
SYMATTR Value 22K
SYMBOL cap 64 864 R0
SYMATTR InstName C21
SYMATTR Value 0.003µ
SYMBOL potentiometer_standard 64 944 R0
SYMATTR InstName U14
SYMATTR Value Rtot=25K wiper={PRES_RED}
SYMBOL potentiometer_standard 256 800 R180
SYMATTR InstName U15
SYMATTR Value Rtot=250K wiper={TREBLE_RED}
SYMATTR SpiceModel pot_pow
SYMBOL potentiometer_standard 224 832 R0
SYMATTR InstName U16
SYMATTR Value Rtot=1MEG wiper={BASS_RED}
SYMATTR SpiceLine Rtap=.1MEG tap=0.5
SYMATTR SpiceModel pot_pow
SYMBOL potentiometer_standard 224 960 R0
SYMATTR InstName U17
SYMATTR Value Rtot=25K wiper={MIDDLE_RED}
SYMATTR SpiceModel pot_pow
SYMBOL cap 320 784 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C23
SYMATTR Value 0.02µ
SYMBOL cap 320 672 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C24
SYMATTR Value 680p
SYMBOL res 336 688 R0
SYMATTR InstName R36
SYMATTR Value 47K
SYMBOL cap 400 1008 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C25
SYMATTR Value 0.02µ
SYMBOL cap -384 -896 R90
WINDOW 0 0 32 VBottom 2
WINDOW 3 32 32 VTop 2
SYMATTR InstName C22
SYMATTR Value 0.02µ
SYMBOL voltage 2352 -752 R0
WINDOW 123 24 38 Left 2
WINDOW 39 26 159 Left 2
SYMATTR Value2 AC 1 0
SYMATTR InstName V3
SYMATTR Value wavefile=test.wav
SYMBOL spdt 2288 -912 R90
WINDOW 3 -108 -181 VRight 2
SYMATTR Value SET={LDR7}
SYMATTR InstName LDR7
SYMBOL spdt 464 -1664 R0
WINDOW 3 7 -41 Left 2
SYMATTR Value SET={STBY}
SYMATTR InstName STBY
TEXT 1856 -1632 Left 2 !.INC Koren_Tubes.INC
TEXT 1856 -1664 Left 2 !.INC potentiometer_standard.lib
TEXT 1856 -1600 Left 2 !.ac oct 1 20 20k
TEXT 1856 -1568 Left 2 !;tran 0 100m 1m
TEXT 1856 -1536 Left 2 !;op
TEXT -688 -2160 Left 7 ;Boogie Boogie\n6L6GC PP with Mesa Boogie Dual Rectifier Preamp\nJeremy Savonet - Sept 2019
TEXT 1856 -1728 Left 2 !.INC transPPc.INC
TEXT 1864 -1480 Left 2 !;.tran 50ms
TEXT -624 -1784 Left 6 ;PSU
TEXT 944 -1808 Left 6 ;BIAS
TEXT 952 -1352 Left 2 ;VBIAS = -51V for 6L6 / -39V for EL34
TEXT 1848 -1808 Left 6 ;DIRECTIVES
TEXT -648 -1176 Left 6 ;POWER AMP
TEXT 1848 -1176 Left 6 ;INPUT
TEXT -496 -1048 Left 2 !.PARAM LDR19=1
TEXT -488 -1104 Left 2 ;0 = No Loopback\n1 = Loopback
TEXT -120 -1016 Left 2 !.PARAM LDR20=1
TEXT -544 -432 Left 2 !.PARAM PRES_OR=0.2
TEXT 320 -216 Left 2 !.PARAM LDR3=0
TEXT 152 384 Left 2 !.PARAM GAIN_OR=0.2
TEXT 320 -192 Left 2 !.PARAM LDR4=1
TEXT 2096 392 Left 2 !.PARAM LDR10=0
TEXT 2360 -224 Left 6 ;PREAMP
TEXT 496 512 Left 2 !.PARAM TREBLE_RED=0.1
TEXT 496 536 Left 2 !.PARAM BASS_RED=0.1
TEXT 496 560 Left 2 !.PARAM MIDDLE_RED=0.1
TEXT 496 584 Left 2 !.PARAM PRES_RED=0.1
TEXT 496 608 Left 2 !.PARAM MASTER_RED=0.7
TEXT -656 544 Left 6 ;TONESTACK
TEXT 2344 -984 Left 2 !.PARAM LDR7=0
TEXT 1864 -1416 Left 2 !;.wave ./out.wav 16 44.1k v(output)
TEXT 808 512 Left 2 !.PARAM TREBLE_OR=0.1
TEXT 808 536 Left 2 !.PARAM BASS_OR=0.1
TEXT 808 560 Left 2 !.PARAM MIDDLE_OR=0.1
TEXT 808 584 Left 2 !.PARAM MASTER_OR=0.8
TEXT 472 -1736 Left 2 !.PARAM STBY=1
RECTANGLE Normal -684 -1856 860 -1292 2
RECTANGLE Normal 904 -1856 1780 -1296 2
RECTANGLE Normal 1816 -1856 2692 -1296 2
RECTANGLE Normal -692 -1248 1784 -316 2
RECTANGLE Normal 1816 -1240 2708 -312 2
RECTANGLE Normal -692 -284 2712 448 2
RECTANGLE Normal -692 484 2752 1204 2
